Channels: 2
Sample Rate: 44100
Bits per Sample: 16
header size: 1058400

[STARTING TEST]
Starting DMA FFT
[DONE] Waiting Write
mcycle = 11642
minstret = 1944
Starting CPU FFT
mcycle = 191572
minstret = 47101
Finished CPU FFT
Start CPU vs DMA Comparison
[0] [DMA] Imag: (-2557), Real: (44)
[0] [CPU] Imag: (0.000000),  Real: (287776833536.000000)
[1] [DMA] Imag: (7), Real: (-1113)
[1] [CPU] Imag: (-64734272.000000),  Real: (-4639082496.000000)
[2] [DMA] Imag: (-696), Real: (821)
[2] [CPU] Imag: (-116371104.000000),  Real: (-4568263168.000000)
[3] [DMA] Imag: (1476), Real: (563)
[3] [CPU] Imag: (-167439904.000000),  Real: (-4531202560.000000)
[4] [DMA] Imag: (508), Real: (1534)
[4] [CPU] Imag: (-218508544.000000),  Real: (-4498058752.000000)
[5] [DMA] Imag: (-1481), Real: (2339)
[5] [CPU] Imag: (-268270560.000000),  Real: (-4463276544.000000)
[6] [DMA] Imag: (1933), Real: (2001)
[6] [CPU] Imag: (-316147104.000000),  Real: (-4421685248.000000)
[7] [DMA] Imag: (-425), Real: (848)
[7] [CPU] Imag: (-362867552.000000),  Real: (-4372599296.000000)
[8] [DMA] Imag: (1581), Real: (-1352)
[8] [CPU] Imag: (-410637664.000000),  Real: (-4315289600.000000)
[9] [DMA] Imag: (-2057), Real: (123)
[9] [CPU] Imag: (-455715744.000000),  Real: (-4243329536.000000)
[10] [DMA] Imag: (2033), Real: (1695)
[10] [CPU] Imag: (-499702688.000000),  Real: (-4152197888.000000)
[11] [DMA] Imag: (-367), Real: (1630)
[11] [CPU] Imag: (-543553472.000000),  Real: (-4033428480.000000)
[12] [DMA] Imag: (1724), Real: (992)
[12] [CPU] Imag: (-585291072.000000),  Real: (-3877448960.000000)
[13] [DMA] Imag: (-3150), Real: (582)
[13] [CPU] Imag: (-625540864.000000),  Real: (-3659766272.000000)
[14] [DMA] Imag: (1108), Real: (73)
[14] [CPU] Imag: (-664793600.000000),  Real: (-3336445952.000000)
[15] [DMA] Imag: (-1860), Real: (-1601)
[15] [CPU] Imag: (-704955456.000000),  Real: (-2805493248.000000)
[16] [DMA] Imag: (1409), Real: (-165)
[16] [CPU] Imag: (-740800960.000000),  Real: (-1805791488.000000)
[17] [DMA] Imag: (-881), Real: (1339)
